Training Type,Notes, 200 - 300 M,500 - 600 M,700 - 800 M,1 - 2 B,2 - 3 B,3 - 4 B,6 - 7B,7 - 8 B,11 - 12 B,13 B,20 B,60 - 70 B,170 - 180 B
"Decoder Only, Pretrained",LM Pretrained Only,,,,,,,,,,,EleutherAI/gpt-neox-20B,,
,,,,,,,,,,,,,,
,,,EleutherAI/pythia-410M-deduped,,,EleutherAI/pythia-2.8b-deduped,,EleutherAI/pythia-6.9b-deduped,,EleutherAI/pythia-12b-deduped,,,,
,,,,,EleutherAI/pythia-1b-deduped,,,,,,,,,
,,,,,EleutherAI/pythia-1.4b-deduped,,,,,,,,,
,,,,,,,,,,,,,,
"Decoder Only, Instruction Tuned",Cross lingual Instruction Tuned on xP3 (english -> 46 languages),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Crosslingual Instruction Tuned on xP3mt. 20 langs -> 46 langs,,,,,,,,,,,,,
,Instruction tuned,,,,,,,,,,,togethercomputer/GPT-NeoXT-Chat-Base-20B,,
,,,,,,,databricks/dolly-v2-3b,,databricks/dolly-v2-7b,databricks/dolly-v2-12b,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Encoder-Decoder, Pretrained",Self-supervised denoising + supervised multitask training,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Self-supervised denoising + supervised multitask training in 101 languages,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Encoder-Decoder, Instruction Tuned",instruction-tuned,google/flan-t5-base,,google/flan-t5-large,,,google/flan-t5-xl,,,google/flan-t5-xxl,,,,
,,,,,,,,,,,,google/flan-ul2,,
,,,,,,,,,,,,,,
,Cross lingual Instruction Tuned on xP3 (english -> 46 languages),,,,,,,,,,,,,
,Crosslingual Instruction Tuned on xP3mt. 20 langs -> 46 langs,,,,,,,,,,,,,
