pretrained,num_fewshot,encoding_scheme,model_size,,hellaswag:acc:pct
EleutherAI/pythia-1b-deduped,0,concat_all_examples,1500.0,283,0.74
EleutherAI/pythia-1b-deduped,0,sentence_level_segmentation,1500.0,266,0.752
EleutherAI/pythia-1b-deduped,5,concat_all_examples,1500.0,279,0.752
EleutherAI/pythia-1b-deduped,5,concat_each_example,1500.0,282,0.751
EleutherAI/pythia-1b-deduped,5,segment_each_example,1500.0,280,0.751
EleutherAI/pythia-1b-deduped,5,sentence_level_segmentation,1500.0,262,0.763
EleutherAI/gpt-neo-1.3B,0,concat_all_examples,1500.0,184,0.839
EleutherAI/gpt-neo-1.3B,0,sentence_level_segmentation,1500.0,202,0.822
EleutherAI/gpt-neo-1.3B,5,concat_all_examples,1500.0,198,0.823
EleutherAI/gpt-neo-1.3B,5,concat_each_example,1500.0,225,0.787
EleutherAI/gpt-neo-1.3B,5,segment_each_example,1500.0,229,0.784
EleutherAI/gpt-neo-1.3B,5,sentence_level_segmentation,1500.0,257,0.764
EleutherAI/pythia-1.4b-deduped,0,concat_all_examples,1500.0,210,0.742
EleutherAI/pythia-1.4b-deduped,0,sentence_level_segmentation,1500.0,250,0.711
EleutherAI/pythia-1.4b-deduped,5,concat_all_examples,1500.0,238,0.727
EleutherAI/pythia-1.4b-deduped,5,concat_each_example,1500.0,230,0.73
EleutherAI/pythia-1.4b-deduped,5,segment_each_example,1500.0,233,0.727
EleutherAI/pythia-1.4b-deduped,5,sentence_level_segmentation,1500.0,258,0.713
EleutherAI/gpt-neo-2.7B,0,concat_all_examples,2500.0,89,0.814
EleutherAI/gpt-neo-2.7B,0,sentence_level_segmentation,2500.0,173,0.766
EleutherAI/gpt-neo-2.7B,5,concat_all_examples,2500.0,109,0.808
EleutherAI/gpt-neo-2.7B,5,concat_each_example,2500.0,224,0.712
EleutherAI/gpt-neo-2.7B,5,segment_each_example,2500.0,272,0.682
EleutherAI/gpt-neo-2.7B,5,sentence_level_segmentation,2500.0,286,0.669
EleutherAI/pythia-2.8b-deduped,0,concat_all_examples,2500.0,60,0.785
EleutherAI/pythia-2.8b-deduped,0,sentence_level_segmentation,2500.0,70,0.779
EleutherAI/pythia-2.8b-deduped,5,concat_all_examples,2500.0,67,0.784
EleutherAI/pythia-2.8b-deduped,5,concat_each_example,2500.0,138,0.753
EleutherAI/pythia-2.8b-deduped,5,segment_each_example,2500.0,146,0.748
EleutherAI/pythia-2.8b-deduped,5,sentence_level_segmentation,2500.0,135,0.756
databricks/dolly-v2-3b,0,concat_all_examples,3500.0,13,0.772
databricks/dolly-v2-3b,0,sentence_level_segmentation,3500.0,14,0.77
databricks/dolly-v2-3b,5,concat_all_examples,3500.0,7,0.786
databricks/dolly-v2-3b,5,concat_each_example,3500.0,24,0.755
databricks/dolly-v2-3b,5,segment_each_example,3500.0,22,0.762
databricks/dolly-v2-3b,5,sentence_level_segmentation,3500.0,21,0.766
EleutherAI/gpt-j-6B,0,concat_all_examples,6500.0,125,0.693
EleutherAI/gpt-j-6B,0,sentence_level_segmentation,6500.0,32,0.732
EleutherAI/gpt-j-6B,5,concat_all_examples,6500.0,117,0.698
EleutherAI/gpt-j-6B,5,concat_each_example,6500.0,43,0.726
EleutherAI/gpt-j-6B,5,segment_each_example,6500.0,45,0.726
EleutherAI/gpt-j-6B,5,sentence_level_segmentation,6500.0,75,0.714
EleutherAI/pythia-6.9b-deduped,0,concat_all_examples,6500.0,143,0.682
EleutherAI/pythia-6.9b-deduped,0,sentence_level_segmentation,6500.0,140,0.684
EleutherAI/pythia-6.9b-deduped,5,concat_all_examples,6500.0,178,0.662
EleutherAI/pythia-6.9b-deduped,5,concat_each_example,6500.0,183,0.658
EleutherAI/pythia-6.9b-deduped,5,segment_each_example,6500.0,192,0.651
EleutherAI/pythia-6.9b-deduped,5,sentence_level_segmentation,6500.0,197,0.645
databricks/dolly-v2-7b,0,concat_all_examples,7500.0,275,0.551
databricks/dolly-v2-7b,0,sentence_level_segmentation,7500.0,169,0.621
databricks/dolly-v2-7b,5,concat_all_examples,7500.0,321,0.522
databricks/dolly-v2-7b,5,concat_each_example,7500.0,290,0.539
databricks/dolly-v2-7b,5,segment_each_example,7500.0,285,0.546
databricks/dolly-v2-7b,5,sentence_level_segmentation,7500.0,216,0.585
EleutherAI/pythia-12b-deduped,0,concat_all_examples,11500.0,20,0.731
EleutherAI/pythia-12b-deduped,0,sentence_level_segmentation,11500.0,16,0.739
EleutherAI/pythia-12b-deduped,5,concat_all_examples,11500.0,34,0.695
EleutherAI/pythia-12b-deduped,5,concat_each_example,11500.0,97,0.668
EleutherAI/pythia-12b-deduped,5,segment_each_example,11500.0,136,0.657
EleutherAI/pythia-12b-deduped,5,sentence_level_segmentation,11500.0,68,0.682
databricks/dolly-v2-12b,0,concat_all_examples,11500.0,49,0.658
databricks/dolly-v2-12b,0,sentence_level_segmentation,11500.0,148,0.621
databricks/dolly-v2-12b,5,concat_all_examples,11500.0,65,0.649
databricks/dolly-v2-12b,5,concat_each_example,11500.0,181,0.594
databricks/dolly-v2-12b,5,segment_each_example,11500.0,206,0.571
databricks/dolly-v2-12b,5,sentence_level_segmentation,11500.0,243,0.546
