pretrained,num_fewshot,encoding_scheme,model_size,,hellaswag:acc:pct
EleutherAI/pythia-1b-deduped,0,concat_all_examples,1500.0,2694,0.645
EleutherAI/pythia-1b-deduped,0,sentence_level_segmentation,1500.0,3971,0.625
EleutherAI/pythia-1b-deduped,5,concat_all_examples,1500.0,5113,0.586
EleutherAI/pythia-1b-deduped,5,concat_each_example,1500.0,5135,0.585
EleutherAI/pythia-1b-deduped,5,segment_each_example,1500.0,5117,0.586
EleutherAI/pythia-1b-deduped,5,sentence_level_segmentation,1500.0,5006,0.592
EleutherAI/gpt-neo-1.3B,0,concat_all_examples,1500.0,683,0.705
EleutherAI/gpt-neo-1.3B,0,sentence_level_segmentation,1500.0,2530,0.654
EleutherAI/gpt-neo-1.3B,5,concat_all_examples,1500.0,4553,0.614
EleutherAI/gpt-neo-1.3B,5,concat_each_example,1500.0,4203,0.624
EleutherAI/gpt-neo-1.3B,5,segment_each_example,1500.0,4057,0.628
EleutherAI/gpt-neo-1.3B,5,sentence_level_segmentation,1500.0,4270,0.623
EleutherAI/pythia-1.4b-deduped,0,concat_all_examples,1500.0,4515,0.569
EleutherAI/pythia-1.4b-deduped,0,sentence_level_segmentation,1500.0,5222,0.536
EleutherAI/pythia-1.4b-deduped,5,concat_all_examples,1500.0,5571,0.483
EleutherAI/pythia-1.4b-deduped,5,concat_each_example,1500.0,5552,0.492
EleutherAI/pythia-1.4b-deduped,5,segment_each_example,1500.0,5543,0.495
EleutherAI/pythia-1.4b-deduped,5,sentence_level_segmentation,1500.0,5546,0.494
EleutherAI/gpt-neo-2.7B,0,concat_all_examples,2500.0,1310,0.611
EleutherAI/gpt-neo-2.7B,0,sentence_level_segmentation,2500.0,3195,0.581
EleutherAI/gpt-neo-2.7B,5,concat_all_examples,2500.0,5429,0.506
EleutherAI/gpt-neo-2.7B,5,concat_each_example,2500.0,5416,0.508
EleutherAI/gpt-neo-2.7B,5,segment_each_example,2500.0,5433,0.505
EleutherAI/gpt-neo-2.7B,5,sentence_level_segmentation,2500.0,5271,0.519
EleutherAI/pythia-2.8b-deduped,0,concat_all_examples,2500.0,480,0.613
EleutherAI/pythia-2.8b-deduped,0,sentence_level_segmentation,2500.0,3636,0.541
EleutherAI/pythia-2.8b-deduped,5,concat_all_examples,2500.0,5268,0.492
EleutherAI/pythia-2.8b-deduped,5,concat_each_example,2500.0,5240,0.493
EleutherAI/pythia-2.8b-deduped,5,segment_each_example,2500.0,5146,0.498
EleutherAI/pythia-2.8b-deduped,5,sentence_level_segmentation,2500.0,5288,0.49
databricks/dolly-v2-3b,0,concat_all_examples,3500.0,13,0.637
databricks/dolly-v2-3b,0,sentence_level_segmentation,3500.0,1125,0.529
databricks/dolly-v2-3b,5,concat_all_examples,3500.0,4990,0.465
databricks/dolly-v2-3b,5,concat_each_example,3500.0,4868,0.471
databricks/dolly-v2-3b,5,segment_each_example,3500.0,4778,0.474
databricks/dolly-v2-3b,5,sentence_level_segmentation,3500.0,5220,0.456
EleutherAI/gpt-j-6B,0,concat_all_examples,6500.0,1,0.699
EleutherAI/gpt-j-6B,0,sentence_level_segmentation,6500.0,24,0.631
EleutherAI/gpt-j-6B,5,concat_all_examples,6500.0,1109,0.534
EleutherAI/gpt-j-6B,5,concat_each_example,6500.0,1297,0.529
EleutherAI/gpt-j-6B,5,sentence_level_segmentation,6500.0,3567,0.499
EleutherAI/pythia-6.9b-deduped,0,concat_all_examples,6500.0,44,0.615
EleutherAI/pythia-6.9b-deduped,0,sentence_level_segmentation,6500.0,1012,0.534
EleutherAI/pythia-6.9b-deduped,5,concat_all_examples,6500.0,5337,0.446
EleutherAI/pythia-6.9b-deduped,5,concat_each_example,6500.0,5116,0.458
EleutherAI/pythia-6.9b-deduped,5,segment_each_example,6500.0,5234,0.452
EleutherAI/pythia-6.9b-deduped,5,sentence_level_segmentation,6500.0,5362,0.444
databricks/dolly-v2-7b,0,concat_all_examples,7500.0,2,0.654
databricks/dolly-v2-7b,0,sentence_level_segmentation,7500.0,591,0.521
databricks/dolly-v2-7b,5,concat_all_examples,7500.0,4477,0.454
databricks/dolly-v2-7b,5,concat_each_example,7500.0,3068,0.475
databricks/dolly-v2-7b,5,segment_each_example,7500.0,4449,0.454
databricks/dolly-v2-7b,5,sentence_level_segmentation,7500.0,5380,0.416
EleutherAI/pythia-12b-deduped,0,concat_all_examples,11500.0,275,0.555
EleutherAI/pythia-12b-deduped,0,sentence_level_segmentation,11500.0,3031,0.484
EleutherAI/pythia-12b-deduped,5,concat_all_examples,11500.0,5509,0.407
EleutherAI/pythia-12b-deduped,5,concat_each_example,11500.0,5474,0.412
EleutherAI/pythia-12b-deduped,5,sentence_level_segmentation,11500.0,5534,0.4
databricks/dolly-v2-12b,0,concat_all_examples,11500.0,0,0.66
databricks/dolly-v2-12b,0,sentence_level_segmentation,11500.0,1209,0.482
databricks/dolly-v2-12b,5,concat_all_examples,11500.0,3643,0.449
databricks/dolly-v2-12b,5,concat_each_example,11500.0,1392,0.476
databricks/dolly-v2-12b,5,sentence_level_segmentation,11500.0,5536,0.379
